                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    136,                 0.5656,                0.40937,                0.83481,                0.98884,                 0.9875,                0.99223,                0.87901,                0.52553,                0.36315,                0.81471,             0.00079238,             0.00079238,             0.00079238
                    137,                0.57345,                0.40263,                0.84068,                0.98961,                0.98556,                0.99237,                0.88295,                0.52442,                0.36799,                 0.8158,             0.00078766,             0.00078766,             0.00078766
                    138,                0.57637,                 0.3936,                 0.8315,                0.99168,                0.98655,                0.99257,                0.89329,                0.49797,                0.35303,                0.81385,             0.00078295,             0.00078295,             0.00078295
                    139,                0.57694,                0.39292,                 0.8293,                0.99168,                0.98655,                0.99257,                0.89329,                0.49797,                0.35303,                0.81385,             0.00077823,             0.00077823,             0.00077823
                    140,                0.58161,                0.40492,                0.83509,                0.99191,                 0.9881,                0.99275,                0.89561,                0.48929,                0.34189,                0.81389,             0.00077352,             0.00077352,             0.00077352
                    141,                0.54873,                0.38899,                0.82792,                0.99271,                 0.9878,                0.99296,                0.89072,                0.49577,                0.34329,                0.81473,              0.0007688,              0.0007688,              0.0007688
                    142,                0.58018,                0.41195,                0.84987,                0.99271,                 0.9878,                0.99296,                0.89072,                0.49577,                0.34329,                0.81473,             0.00076409,             0.00076409,             0.00076409
                    143,                0.57062,                0.38807,                 0.8481,                0.99049,                 0.9903,                  0.993,                0.87952,                 0.5152,                0.34795,                0.81504,             0.00075937,             0.00075937,             0.00075937
                    144,                0.55865,                0.37752,                0.83155,                0.99227,                0.99002,                0.99335,                 0.8848,                0.50127,                0.33832,                0.81325,             0.00075465,             0.00075465,             0.00075465
                    145,                0.59031,                0.39493,                0.83008,                0.99227,                0.99002,                0.99335,                 0.8848,                0.50127,                0.33832,                0.81325,             0.00074994,             0.00074994,             0.00074994
